"","Condition","Category","p.adjust","Count","GeneRatio"
"1","Fig 5A - Upregulated","Cellular amino acid metabolic process",6.50673288433472e-10,18,"18/45"
"2","Fig 5A - Upregulated","Cell wall organization or biogenesis",0.108757786545207,6,"6/45"
"3","Fig 5A - Upregulated","Membrane lipid biosynthesis",0.974754716561616,2,"2/45"
"4","Fig 5A - Upregulated","Glycolysis",0.993807729947578,1,"1/45"
"5","Fig 5A - Downregulated","Glycolysis",6.18267193606865e-07,26,"26/144"
"6","Fig 5A - Downregulated","Cell wall organization or biogenesis",0.000202920375564796,20,"20/144"
"7","Fig 5A - Downregulated","Membrane lipid biosynthesis",0.999965010841521,6,"6/144"
"8","Fig 5A - Downregulated","Cellular amino acid metabolic process",0.999965010841521,3,"3/144"
"9","Fig 5B - Upregulated","Glycolysis",0.0124022142932877,3,"3/8"
"10","Fig 5B - Downregulated","Cellular amino acid metabolic process",3.08203592708147e-20,25,"25/42"
"11","Fig 5B - Downregulated","Glycolysis",0.984185937191955,1,"1/42"
